full_name,epoch,e,q,i
  5460 Tsenaat'a'i (1983 AW),2461000.5,0.167470367213864,1.85877788566609,3.679023869913218
     C/-146 P1,1667909.5,1.0,0.43,71.0
     C/-43 K1,1705496.5,1.0,0.22,110.0
     C/240 V1,1809031.5,1.0,0.37,44.0
     C/390 Q1,1863752.5,1.0,0.92,36.0
     C/400 F1,1867212.5,1.0,0.21,32.0
     C/418 M1,1874009.5,1.0,0.35,110.0
     C/442 V1,1882846.5,1.0,1.53,106.0
     C/539 W1,1918236.5,1.0,0.16,19.0
     C/565 O1,1927619.5,1.0,0.83,121.0
     C/568 O1,1928759.2,1.0,0.87,4.0
     C/574 G1,1930794.5,1.0,0.73,54.0
     C/770 K1,2002456.3,1.0,0.58,117.0
     C/817 C1,2019528.5,1.0,1.1,120.0
     C/868 B1,2038157.5,1.0,0.42,65.0
     C/905 K1,2051724.5,1.0,0.2,140.0
     C/962 B1,2072424.5,1.0,0.63,119.0
     C/1014 C1,2091516.5,1.0,0.56,117.0
     C/1018 P1,2093120.5,1.0,0.62,35.0
     C/1080 P1,2115781.4,1.0,0.681,6.9
     C/1092 A1,2119962.5,1.0,0.77,124.0
     C/1097 T1,2122001.5,1.0,0.3,41.0
     C/1110 K1,2126622.5,1.0,0.83,137.0
     C/1132 T1,2134763.2,1.0,0.736,106.3
     C/1147 A1,2140026.5,1.0,0.12,110.0
     C/1230 X1,2170677.3,1.0,0.86,16.0
     C/1240 B1,2173988.1,1.0,0.668,75.3
     C/1245 D1,2175884.5,1.0,0.5,20.0
     C/1264 N1,2182934.79,1.0,0.8249,16.4
     C/1293 V1,2193626.5,1.0,0.78,30.0
     C/1299 B1,2195607.31,1.0,0.3179,111.0
     C/1304 C1,2197379.0,1.0,0.84,65.0
     C/1304 Y1,2197727.5,1.0,0.65,99.0
     C/1315 U1,2201648.6,1.0,1.65,125.3
     C/1337 M1,2209562.35,1.0,0.749,143.6
     C/1340 F1,2210626.12,1.0,1.1362,176.48
     C/1345 O1,2212553.5,1.0,0.89,23.0
     C/1351 W1,2214832.5,1.0,1.01,7.0
     C/1362 E1,2218583.5,1.0,0.3,155.0
     C/1368 E1,2220844.5,1.0,0.48,131.0
     C/1376 M1,2223854.2,1.0,0.55,76.0
     C/1402 D1,2233217.5,1.0,0.38,55.0
     C/1433 R1,2244772.77,1.0,0.49277,103.979
     C/1439 F1,2246780.5,1.0,0.12,81.0
     C/1449 Y1,2250648.368,1.0,0.32742,155.679
     C/1457 L1,2253446.605,1.0,0.76991,7.335
     C/1458 Y1,2253902.5,1.0,0.49,69.0
     C/1462 M1,2255268.5,1.0,0.25,130.0
     C/1468 S1,2257524.8,1.0,0.85,138.0
     C/1471 Y1,2258765.939,1.0,0.48589,170.866
     C/1490 Y1,2265638.47,1.0,0.7376,51.65
     C/1499 Q1,2268818.5,1.0,0.95,16.0
     C/1500 H1,2269052.5,1.0,1.11,99.0
     C/1506 O1,2271364.0,1.0,0.84,115.0
     C/1532 R1,2280912.332,1.0,0.51922,32.592
     C/1533 M1,2281151.917,1.0,0.2548,149.592
     C/1538 A1,2282810.82,1.0,0.1477,42.46
     C/1539 H1,2283309.1,1.0,0.961,18.6
     C/1556 D1,2289499.185,1.0,0.49082,32.37
     C/1557 T1,2290016.5,1.0,0.5,42.0
     C/1558 P1,2290338.5,1.0,0.3155,76.4
     C/1577 V1,2297356.948,1.0,0.1775,104.883
     C/1580 T1,2298451.5,1.0,0.60237,64.612
     C/1582 J1,2299009.413,1.0,0.16872,118.539
     C/1585 T1,2300282.5,1.0,1.09485,6.135
     C/1590 E1,2301834.027,1.0,0.56773,150.451
     C/1593 O1,2303090.569,1.0,0.08911,87.914
     C/1596 N1,2304193.214,1.0,0.56716,128.08
     C/1618 Q1,2312251.127,1.0,0.51298,21.494
     C/1618 V1,2312322.4,1.0,0.744,8.4
     C/1618 W1,2312334.351,1.0,0.38954,37.196
     C/1639 U1,2320024.9,1.0,0.816,61.7
     C/1652 Y1,2324757.653,1.0,0.8475,79.461
     C/1661 C1,2327754.881,1.0,0.44272,33.015
     C/1664 W1,2329162.483,1.0,1.02553,158.697
     C/1665 F1,2329303.219,1.0,0.10649,103.893
     C/1668 E1,2330342.58,1.0,0.0666,144.381
     C/1672 E1,2331806.447,1.0,0.69546,82.972
     C/1677 H1,2333698.026,1.0,0.28059,100.928
     C/1680 V1,2335000.5,0.999986,0.006222,60.6784
     C/1683 O1,2335957.091,1.0,0.55958,96.738
     C/1684 N1,2336288.263,1.0,0.95827,65.424
     C/1686 R1,2337117.825,1.0,0.33602,34.969
     C/1689 X1,2338289.159,1.0,0.06443,63.204
     C/1695 U1,2340442.268,1.0,0.0423,93.589
     C/1698 R1,2341532.015,1.0,0.72865,169.094
     C/1699 D1,2341620.4,1.0,0.74862,109.424
